image,charuco_id,observed_u,observed_v,projected_u,projected_v,error_px
images/frame_018.png,11,966.003296,969.360107,966.119019,969.426086,0.133210
images/frame_018.png,14,691.785217,992.852661,691.437683,992.295227,0.656896
images/frame_018.png,18,966.176758,991.964233,966.338013,991.795654,0.233285
images/frame_018.png,19,1035.502686,991.762390,1035.366821,991.670166,0.164208
images/frame_018.png,21,674.927917,1015.750793,677.184753,1016.967041,2.563702
images/frame_018.png,24,894.264038,1016.678101,894.029663,1016.641663,0.237191
images/frame_018.png,25,966.228760,1016.468994,966.580200,1016.532776,0.357181
images/frame_018.png,26,1038.612061,1016.853455,1039.265747,1016.423706,0.782298
images/frame_018.png,27,1112.251465,1016.276428,1112.086670,1016.314453,0.169125
images/frame_018.png,28,661.379211,1044.319458,661.345215,1044.385376,0.074168
images/frame_018.png,29,736.974548,1044.142334,737.496948,1044.297852,0.545057
images/frame_018.png,30,814.097229,1044.099487,813.797974,1044.210327,0.319123
images/frame_018.png,31,889.759277,1044.457764,890.248596,1044.122437,0.593192
images/frame_018.png,32,966.938965,1043.851685,966.849426,1044.034546,0.203606
images/frame_018.png,33,1043.828125,1043.859497,1043.600708,1043.946411,0.243460
images/frame_018.png,34,1120.176880,1044.207520,1120.503174,1043.858032,0.478131
images/frame_019.png,11,965.332825,969.347717,966.119019,969.426086,0.790090
images/frame_019.png,12,1031.888672,969.091431,1031.841431,969.287842,0.202013
images/frame_019.png,13,1097.612427,969.521667,1097.674561,969.149353,0.377463
images/frame_019.png,18,966.181458,991.992554,966.338013,991.795654,0.251553
images/frame_019.png,19,1035.567627,991.745117,1035.366821,991.670166,0.214338
images/frame_019.png,20,1103.782104,991.122070,1104.517822,991.544495,0.848365
images/frame_019.png,23,821.497925,1016.578308,821.613831,1016.750305,0.207406
images/frame_019.png,24,894.186157,1016.638794,894.029663,1016.641663,0.156520
images/frame_019.png,25,966.505737,1016.524536,966.580200,1016.532776,0.074917
images/frame_019.png,26,1039.316162,1016.525208,1039.265747,1016.423706,0.113332
images/frame_019.png,27,1112.276489,1016.221313,1112.086670,1016.314453,0.211439
images/frame_019.png,30,813.993225,1044.082031,813.797974,1044.210327,0.233630
images/frame_019.png,31,890.030334,1044.376953,890.248596,1044.122437,0.335286
images/frame_019.png,32,966.922180,1043.840576,966.849426,1044.034546,0.207165
images/frame_019.png,33,1043.813965,1043.947998,1043.600708,1043.946411,0.213263
images/frame_019.png,34,1120.968384,1044.090210,1120.503174,1043.858032,0.519930
images/frame_020.png,8,770.091309,970.029907,769.613281,969.839539,0.514539
images/frame_020.png,11,965.719177,969.223145,966.119019,969.426086,0.448395
images/frame_020.png,14,691.725159,992.926086,691.437683,992.295227,0.693272
images/frame_020.png,18,966.386963,991.992249,966.338013,991.795654,0.202597
images/frame_020.png,19,1035.432007,991.863281,1035.366821,991.670166,0.203820
images/frame_020.png,20,1103.886719,991.051819,1104.517822,991.544495,0.800638
images/frame_020.png,21,674.567078,1015.547729,677.184753,1016.967041,2.977696
images/frame_020.png,25,966.315979,1016.679993,966.580200,1016.532776,0.302466
images/frame_020.png,26,1038.928833,1016.868286,1039.265747,1016.423706,0.557819
images/frame_020.png,28,661.372864,1044.244385,661.345215,1044.385376,0.143677
images/frame_020.png,29,738.022278,1044.418945,737.496948,1044.297852,0.539106
images/frame_020.png,32,966.843079,1043.863037,966.849426,1044.034546,0.171626
images/frame_020.png,33,1043.875366,1043.952026,1043.600708,1043.946411,0.274716
images/frame_021.png,1,779.018005,948.881226,778.367737,949.543213,0.927942
images/frame_021.png,2,840.987061,949.643433,840.784973,949.395691,0.319711
images/frame_021.png,3,903.734070,948.929932,903.302368,949.247864,0.536141
images/frame_021.png,8,770.106567,970.020081,769.613281,969.839539,0.525287
images/frame_021.png,11,965.639282,969.224915,966.119019,969.426086,0.520209
images/frame_021.png,19,1035.600586,991.768860,1035.366821,991.670166,0.253745
images/frame_021.png,20,1104.202881,991.166199,1104.517822,991.544495,0.492236
images/frame_021.png,26,1039.541138,1016.575378,1039.265747,1016.423706,0.314395
images/frame_021.png,27,1112.272705,1016.245361,1112.086670,1016.314453,0.198451
images/frame_021.png,30,814.047974,1044.174683,813.797974,1044.210327,0.252528
images/frame_021.png,31,890.738708,1044.355835,890.248596,1044.122437,0.542849
images/frame_021.png,32,967.042786,1043.844482,966.849426,1044.034546,0.271131
images/frame_023.png,11,965.660034,969.228577,966.119019,969.426086,0.499677
images/frame_023.png,12,1031.777344,969.230896,1031.841431,969.287842,0.085732
images/frame_023.png,13,1097.693970,969.475708,1097.674561,969.149353,0.326932
images/frame_023.png,18,966.074768,991.954407,966.338013,991.795654,0.307409
images/frame_023.png,19,1035.531860,991.849182,1035.366821,991.670166,0.243484
images/frame_023.png,20,1104.192627,990.999146,1104.517822,991.544495,0.634947
images/frame_023.png,24,894.308777,1016.715515,894.029663,1016.641663,0.288719
images/frame_023.png,25,966.839050,1016.564392,966.580200,1016.532776,0.260774
images/frame_023.png,26,1039.275879,1016.607727,1039.265747,1016.423706,0.184300
images/frame_023.png,27,1112.365601,1016.288330,1112.086670,1016.314453,0.280151
images/frame_023.png,30,814.048828,1044.116455,813.797974,1044.210327,0.267843
images/frame_023.png,31,890.706604,1044.432739,890.248596,1044.122437,0.553226
images/frame_023.png,32,966.877686,1043.768188,966.849426,1044.034546,0.267852
images/frame_023.png,33,1043.800781,1043.906494,1043.600708,1043.946411,0.204016
images/frame_023.png,34,1120.326660,1044.254028,1120.503174,1043.858032,0.433555
images/frame_026.png,6,1092.467041,948.487793,1091.457397,948.803040,1.057715
images/frame_026.png,8,770.149536,970.093689,769.613281,969.839539,0.593432
images/frame_026.png,12,1031.753906,969.177612,1031.841431,969.287842,0.140752
images/frame_026.png,18,966.201904,991.966919,966.338013,991.795654,0.218763
images/frame_026.png,19,1035.402954,991.862976,1035.366821,991.670166,0.196167
images/frame_026.png,25,966.502991,1016.621094,966.580200,1016.532776,0.117309
images/frame_026.png,26,1038.639648,1016.826416,1039.265747,1016.423706,0.744429
images/frame_026.png,27,1112.223022,1016.204712,1112.086670,1016.314453,0.175029
images/frame_026.png,28,661.335754,1044.353027,661.345215,1044.385376,0.033704
images/frame_026.png,29,736.815613,1044.257202,737.496948,1044.297852,0.682547
images/frame_026.png,32,966.894165,1043.776245,966.849426,1044.034546,0.262147
images/frame_026.png,33,1043.873901,1043.981201,1043.600708,1043.946411,0.275400
images/frame_026.png,34,1120.078613,1044.165649,1120.503174,1043.858032,0.524290
images/frame_027.png,8,770.148438,970.127197,769.613281,969.839539,0.607569
images/frame_027.png,18,966.264099,991.992859,966.338013,991.795654,0.210601
images/frame_027.png,19,1035.545898,991.916199,1035.366821,991.670166,0.304304
images/frame_027.png,20,1103.844482,991.108215,1104.517822,991.544495,0.802325
images/frame_027.png,25,966.789185,1016.419983,966.580200,1016.532776,0.237480
images/frame_027.png,26,1040.398315,1016.314819,1039.265747,1016.423706,1.137791
images/frame_027.png,27,1112.204224,1016.300476,1112.086670,1016.314453,0.118382
images/frame_027.png,28,661.353271,1044.314209,661.345215,1044.385376,0.071622
images/frame_027.png,29,738.055847,1044.482056,737.496948,1044.297852,0.588472
images/frame_027.png,32,966.874634,1043.681885,966.849426,1044.034546,0.353561
images/frame_027.png,33,1043.863159,1043.846191,1043.600708,1043.946411,0.280935
images/frame_027.png,34,1120.283081,1044.236328,1120.503174,1043.858032,0.437663
images/frame_028.png,2,841.092529,949.574341,840.784973,949.395691,0.355678
images/frame_028.png,3,903.679382,949.089783,903.302368,949.247864,0.408814
images/frame_028.png,11,966.045288,969.322510,966.119019,969.426086,0.127139
images/frame_028.png,19,1035.424561,991.854675,1035.366821,991.670166,0.193333
images/frame_028.png,23,821.008423,1016.556091,821.613831,1016.750305,0.635797
images/frame_028.png,26,1039.255005,1016.667786,1039.265747,1016.423706,0.244316
images/frame_028.png,27,1112.235596,1016.222778,1112.086670,1016.314453,0.174880
images/frame_028.png,30,814.108154,1044.121826,813.797974,1044.210327,0.322559
